date,lat,lon,V2M
2020-05,-84.130438983,35.026828514,-7.177591800689697
2020-11,-84.130438983,35.026828514,-6.2386884689331055
2020-10,-84.130438983,35.026828514,-6.841956615447998
2020-04,-84.130438983,35.026828514,-5.721738338470459
2020-12,-84.130438983,35.026828514,-5.193373203277588
2020-06,-84.130438983,35.026828514,-5.718477249145508
2020-07,-84.130438983,35.026828514,-7.114029407501221
2020-03,-84.130438983,35.026828514,-5.332246780395508
2020-02,-84.130438983,35.026828514,-5.707527160644531
2020-01,-84.130438983,35.026828514,-4.801731109619141
2020-08,-84.130438983,35.026828514,-7.372460842132568
2020-05,-84.019455385,35.0761326630001,-7.177591800689697
2020-11,-84.019455385,35.0761326630001,-6.2386884689331055
2020-10,-84.019455385,35.0761326630001,-6.841956615447998
2020-04,-84.019455385,35.0761326630001,-5.721738338470459
2020-12,-84.019455385,35.0761326630001,-5.193373203277588
2020-06,-84.019455385,35.0761326630001,-5.718477249145508
2020-07,-84.019455385,35.0761326630001,-7.114029407501221
2020-03,-84.019455385,35.0761326630001,-5.332246780395508
2020-02,-84.019455385,35.0761326630001,-5.707527160644531
2020-01,-84.019455385,35.0761326630001,-4.801731109619141
2020-08,-84.019455385,35.0761326630001,-7.372460842132568
2020-05,-84.1772438259999,35.1502678150001,-7.177591800689697
2020-11,-84.1772438259999,35.1502678150001,-6.2386884689331055
2020-10,-84.1772438259999,35.1502678150001,-6.841956615447998
2020-04,-84.1772438259999,35.1502678150001,-5.721738338470459
2020-12,-84.1772438259999,35.1502678150001,-5.193373203277588
2020-06,-84.1772438259999,35.1502678150001,-5.718477249145508
2020-07,-84.1772438259999,35.1502678150001,-7.114029407501221
2020-03,-84.1772438259999,35.1502678150001,-5.332246780395508
2020-02,-84.1772438259999,35.1502678150001,-5.707527160644531
2020-01,-84.1772438259999,35.1502678150001,-4.801731109619141
2020-08,-84.1772438259999,35.1502678150001,-7.372460842132568
2020-05,-82.842790634,35.5379700560001,-7.177591800689697
2020-11,-82.842790634,35.5379700560001,-6.2386884689331055
2020-10,-82.842790634,35.5379700560001,-6.841956615447998
2020-04,-82.842790634,35.5379700560001,-5.721738338470459
2020-12,-82.842790634,35.5379700560001,-5.193373203277588
2020-06,-82.842790634,35.5379700560001,-5.718477249145508
