lon,lat
-77.6477876499999,43.0987437270001
-77.633969473,43.0593839360001
-78.397290158,42.8415305350001
-74.185051111,42.9559017220001
-74.677420645,41.7613659680001
-74.673769533,41.670813292
-73.4244871499999,43.8511915130001
-73.463839546,44.7238204160001
-73.479099048,44.0554356540001
-73.751654475,42.8232340330001
-73.64964538,42.740557241
-73.6814519869999,43.3079741010001
-73.7481824179999,44.6390622960001
-73.965371048,41.5732552000001
-73.3732671769999,44.99051525
-73.445998735,43.8456112420001
-73.589154258,41.9774710790001
-73.610353365,42.9077878580001
-73.799211274,42.96423529
-73.971739597,43.681874624
-74.937577086,42.6862177180001
-75.059320917,44.2110499520001
-75.058850311,44.2107841850001
-75.357788147,43.509641275
-73.647975072,40.6181008560001
-73.6466927869999,40.8281184790001
-71.958214954,41.0421298200001
-73.341141109,40.9233095980001
-73.6219950719999,44.6950489980001
-74.2169641739999,44.7538240810001
-74.958050436,44.584715083
-74.9575551459999,44.5834294540001
-75.4896572229999,44.6387885760001
-74.53684348,43.0097135830001
-74.763415919,43.0602255220001
-75.7969353029999,44.011435899
-75.9714893839999,43.523233996
-75.1360577409999,43.871953972
-75.135936525,43.871604436
-73.8980936139999,40.7817856790001
-76.0821333059999,43.06076604
-75.6224524639999,43.984253016
-76.951052331,42.679429441
-77.555069476,42.3048485210001
-73.819677928,43.248532799
-73.808957928,43.2493728860001
-78.077057392,42.6537925580001
-76.49311348,43.471666693
-73.596173091,44.7038753150001
-73.595362603,44.7031505960001
-75.434663475,43.8864383170001
-78.7385407629999,43.161746291
-72.852219857,40.86007729
-73.0641544919999,40.816173249
-73.9995507849999,40.6627565410001
-78.306387526,42.5319099290001
-78.2280139119999,42.669848545
-74.111312675,44.924460938
-78.854344461,43.0485579310001
-79.046511467,42.5172897510001
-78.457269751,42.0894508800001
-78.389264827,42.0762914220001
-78.3899968809999,42.0732216650001
-78.4552803719999,42.081938328
-78.643366901,42.258823987
-78.494775477,42.4056484920001
-74.225757916,41.486443568
-74.982356093,43.0329311040001
-75.494483122,44.6922458450001
-77.6656309699999,42.327270549
-77.544241991,42.189664082
-77.4575041969999,42.576348991
-77.4590396089999,42.4362945820001
