date,lat,lon,U2M
2020-05,-83.550481668,30.0529967590001,-3.4209115505218506
2020-11,-83.550481668,30.0529967590001,-1.8159475326538086
2020-10,-83.550481668,30.0529967590001,-2.7104806900024414
2020-04,-83.550481668,30.0529967590001,-3.004605531692505
2020-12,-83.550481668,30.0529967590001,-0.7607870101928711
2020-06,-83.550481668,30.0529967590001,-3.1653478145599365
2020-07,-83.550481668,30.0529967590001,-4.100317478179932
2020-03,-83.550481668,30.0529967590001,-2.5272586345672607
2020-02,-83.550481668,30.0529967590001,-1.8220256567001343
2020-01,-83.550481668,30.0529967590001,-0.2433348298072815
2020-08,-83.550481668,30.0529967590001,-4.523294925689697
2020-05,-83.545343966,30.0616113,-3.4209115505218506
2020-11,-83.545343966,30.0616113,-1.8159475326538086
2020-10,-83.545343966,30.0616113,-2.7104806900024414
2020-04,-83.545343966,30.0616113,-3.004605531692505
2020-12,-83.545343966,30.0616113,-0.7607870101928711
2020-06,-83.545343966,30.0616113,-3.1653478145599365
2020-07,-83.545343966,30.0616113,-4.100317478179932
2020-03,-83.545343966,30.0616113,-2.5272586345672607
2020-02,-83.545343966,30.0616113,-1.8220256567001343
2020-01,-83.545343966,30.0616113,-0.2433348298072815
2020-08,-83.545343966,30.0616113,-4.523294925689697
2020-05,-83.169863482,30.1254002360001,-3.4209115505218506
2020-11,-83.169863482,30.1254002360001,-1.8159475326538086
2020-10,-83.169863482,30.1254002360001,-2.7104806900024414
2020-04,-83.169863482,30.1254002360001,-3.004605531692505
2020-12,-83.169863482,30.1254002360001,-0.7607870101928711
2020-06,-83.169863482,30.1254002360001,-3.1653478145599365
2020-07,-83.169863482,30.1254002360001,-4.100317478179932
2020-03,-83.169863482,30.1254002360001,-2.5272586345672607
2020-02,-83.169863482,30.1254002360001,-1.8220256567001343
2020-01,-83.169863482,30.1254002360001,-0.2433348298072815
2020-08,-83.169863482,30.1254002360001,-4.523294925689697
2020-05,-83.16996646,30.1248128030001,-3.4209115505218506
2020-11,-83.16996646,30.1248128030001,-1.8159475326538086
2020-10,-83.16996646,30.1248128030001,-2.7104806900024414
2020-04,-83.16996646,30.1248128030001,-3.004605531692505
2020-12,-83.16996646,30.1248128030001,-0.7607870101928711
2020-06,-83.16996646,30.1248128030001,-3.1653478145599365
2020-07,-83.16996646,30.1248128030001,-4.100317478179932
2020-03,-83.16996646,30.1248128030001,-2.5272586345672607
2020-02,-83.16996646,30.1248128030001,-1.8220256567001343
2020-01,-83.16996646,30.1248128030001,-0.2433348298072815
2020-08,-83.16996646,30.1248128030001,-4.523294925689697
2020-05,-82.9349863909999,29.9991755300001,-3.4209115505218506
2020-11,-82.9349863909999,29.9991755300001,-1.8159475326538086
2020-10,-82.9349863909999,29.9991755300001,-2.7104806900024414
2020-04,-82.9349863909999,29.9991755300001,-3.004605531692505
2020-12,-82.9349863909999,29.9991755300001,-0.7607870101928711
2020-06,-82.9349863909999,29.9991755300001,-3.1653478145599365
2020-07,-82.9349863909999,29.9991755300001,-4.100317478179932
2020-03,-82.9349863909999,29.9991755300001,-2.5272586345672607
2020-02,-82.9349863909999,29.9991755300001,-1.8220256567001343
2020-01,-82.9349863909999,29.9991755300001,-0.2433348298072815
2020-08,-82.9349863909999,29.9991755300001,-4.523294925689697
2020-05,-82.9354295649999,29.998869175,-3.4209115505218506
2020-11,-82.9354295649999,29.998869175,-1.8159475326538086
2020-10,-82.9354295649999,29.998869175,-2.7104806900024414
2020-04,-82.9354295649999,29.998869175,-3.004605531692505
2020-12,-82.9354295649999,29.998869175,-0.7607870101928711
2020-06,-82.9354295649999,29.998869175,-3.1653478145599365
2020-07,-82.9354295649999,29.998869175,-4.100317478179932
2020-03,-82.9354295649999,29.998869175,-2.5272586345672607
2020-02,-82.9354295649999,29.998869175,-1.8220256567001343
2020-01,-82.9354295649999,29.998869175,-0.2433348298072815
2020-08,-82.9354295649999,29.998869175,-4.523294925689697
2020-05,-83.18291211,30.371626549,-3.4209115505218506
2020-11,-83.18291211,30.371626549,-1.8159475326538086
2020-10,-83.18291211,30.371626549,-2.7104806900024414
2020-04,-83.18291211,30.371626549,-3.004605531692505
2020-12,-83.18291211,30.371626549,-0.7607870101928711
2020-06,-83.18291211,30.371626549,-3.1653478145599365
2020-07,-83.18291211,30.371626549,-4.100317478179932
2020-03,-83.18291211,30.371626549,-2.5272586345672607
2020-02,-83.18291211,30.371626549,-1.8220256567001343
2020-01,-83.18291211,30.371626549,-0.2433348298072815
2020-08,-83.18291211,30.371626549,-4.523294925689697
2020-05,-83.077667678,30.261517036,-3.4209115505218506
2020-11,-83.077667678,30.261517036,-1.8159475326538086
2020-10,-83.077667678,30.261517036,-2.7104806900024414
2020-04,-83.077667678,30.261517036,-3.004605531692505
2020-12,-83.077667678,30.261517036,-0.7607870101928711
2020-06,-83.077667678,30.261517036,-3.1653478145599365
2020-07,-83.077667678,30.261517036,-4.100317478179932
2020-03,-83.077667678,30.261517036,-2.5272586345672607
2020-02,-83.077667678,30.261517036,-1.8220256567001343
2020-01,-83.077667678,30.261517036,-0.2433348298072815
2020-08,-83.077667678,30.261517036,-4.523294925689697
2020-05,-82.7282409439999,30.293011275,-3.4209115505218506
2020-11,-82.7282409439999,30.293011275,-1.8159475326538086
2020-10,-82.7282409439999,30.293011275,-2.7104806900024414
2020-04,-82.7282409439999,30.293011275,-3.004605531692505
2020-12,-82.7282409439999,30.293011275,-0.7607870101928711
2020-06,-82.7282409439999,30.293011275,-3.1653478145599365
2020-07,-82.7282409439999,30.293011275,-4.100317478179932
