X,Y,OBJECTID,ID,NAME,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,LINES,MAX_VOLT,MIN_VOLT,MAX_INFER,MIN_INFER
-9147227.1988,3219591.4597,45515,161052,TAP161052,LITHIA,FL,33547,TAP,IN SERVICE,HILLSBOROUGH,12057,USA,27.7666980000001,-82.17094,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/01 00:00:00+00,IMAGERY,2019/03/01 00:00:00+00,3,230,230,Y,Y
-9147225.4177,3217861.2363,45516,161053,TAP161053,LITHIA,FL,33547,TAP,IN SERVICE,HILLSBOROUGH,12057,USA,27.7529440000001,-82.170924,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/01 00:00:00+00,IMAGERY,2019/03/01 00:00:00+00,3,230,230,Y,Y
-9368931.3027,3566517.0564,45517,161054,RISER161054,TALLAHASSEE,FL,32309,RISER,IN SERVICE,LEON,12073,USA,30.488649191,-84.162541851,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/01 00:00:00+00,IMAGERY,2019/03/01 00:00:00+00,2,115,115,Y,Y
-9368816.0798,3566916.3522,45518,161055,UNKNOWN161055,TALLAHASSEE,FL,32309,SUBSTATION,IN SERVICE,LEON,12073,USA,30.49174011,-84.161506786,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/01 00:00:00+00,IMAGERY,2019/03/01 00:00:00+00,2,115,115,Y,Y
-9368931.8507,3566510.6288,45519,161056,RISER161056,TALLAHASSEE,FL,32309,RISER,IN SERVICE,LEON,12073,USA,30.488599434,-84.162546774,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/01 00:00:00+00,IMAGERY,2019/03/01 00:00:00+00,2,115,115,Y,Y
-9047307.5016,3359609.3646,45958,161502,TAP161502,DELTONA,FL,32725,TAP,IN SERVICE,VOLUSIA,12127,USA,28.873925684,-81.273346088,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/19 00:00:00+00,IMAGERY,2019/03/19 00:00:00+00,3,115,115,N,N
-9123397.3615,3352612.9087,45959,161503,TAP161503,WILDWOOD,FL,34785,TAP,IN SERVICE,SUMTER,12119,USA,28.818874147,-81.956872929,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/19 00:00:00+00,IMAGERY,2019/03/19 00:00:00+00,3,69,69,Y,Y
-9086949.253,3550516.7157,45962,161506,TAP161506,JACKSONVILLE,FL,32206,TAP,IN SERVICE,DUVAL,12031,USA,30.3647110000001,-81.629454,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/19 00:00:00+00,IMAGERY,2019/03/19 00:00:00+00,3,-999999,-999999,Y,Y
-9062232.4652,3285499.239,45970,161514,RISER161514,KISSIMMEE,FL,34741,RISER,IN SERVICE,OSCEOLA,12097,USA,28.2893168750001,-81.4074193169999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/19 00:00:00+00,IMAGERY,2019/03/19 00:00:00+00,2,69,69,Y,Y
-9062232.8625,3285508.2632,45971,161515,RISER161515,KISSIMMEE,FL,34741,RISER,IN SERVICE,OSCEOLA,12097,USA,28.2893882590001,-81.4074228859999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/19 00:00:00+00,IMAGERY,2019/03/19 00:00:00+00,2,69,69,Y,Y
-9062340.627,3285526.6309,45972,161516,RISER161516,KISSIMMEE,FL,34741,RISER,IN SERVICE,OSCEOLA,12097,USA,28.289533552,-81.4083909509999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/19 00:00:00+00,IMAGERY,2019/03/19 00:00:00+00,2,69,69,Y,Y
-9062306.7641,3285516.8362,45973,161517,UNKNOWN161517,KISSIMMEE,FL,34741,SUBSTATION,IN SERVICE,OSCEOLA,12097,USA,28.2894560730001,-81.408086756,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/19 00:00:00+00,IMAGERY,2019/03/19 00:00:00+00,1,69,69,Y,Y
-9161370.3328,3400210.3906,45974,161518,UNKNOWN161518,OCALA,FL,34482,SUBSTATION,IN SERVICE,MARION,12083,USA,29.1928178420001,-82.297989934,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/19 00:00:00+00,IMAGERY,2019/03/19 00:00:00+00,1,-999999,-999999,Y,Y
-9191572.591,3524004.3497,45980,161524,RAVEN,LAKE CITY,FL,32025,SUBSTATION,IN SERVICE,COLUMBIA,12023,USA,30.1590009490001,-82.569301436,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,"IMAGERY, http://www.oatioasis.com/FPL/FPLdocs/2016_Planning_Process_Kick-Off_Meeting_CEII_Out_7_27_16.pptx",2019/03/19 00:00:00+00,IMAGERY,2019/03/19 00:00:00+00,3,230,115,N,Y
-9155150.5323,3532538.8893,45981,161525,TAP161525,GLEN ST MARY,FL,32040,TAP,IN SERVICE,BAKER,12003,USA,30.225267656,-82.242116516,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/19 00:00:00+00,IMAGERY,2019/03/19 00:00:00+00,3,115,115,N,N
-9530477.3858,3520499.8006,45982,161526,TAP161526,PANAMA CITY,FL,32404,TAP,IN SERVICE,BAY,12005,USA,30.1317768550001,-85.613735006,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/19 00:00:00+00,IMAGERY,2019/03/19 00:00:00+00,3,115,115,Y,Y
-9531417.6029,3519661.9863,45983,161527,TAP161527,PANAMA CITY,FL,32404,TAP,IN SERVICE,BAY,12005,USA,30.1252674200001,-85.6221811199999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/19 00:00:00+00,IMAGERY,2019/03/19 00:00:00+00,3,115,115,Y,Y
-9531420.2517,3519630.4431,45984,161528,TAP161528,PANAMA CITY,FL,32404,TAP,IN SERVICE,BAY,12005,USA,30.125022335,-85.6222049149999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/19 00:00:00+00,IMAGERY,2019/03/19 00:00:00+00,3,115,115,Y,Y
-9094995.7598,3531956.7456,45985,161529,RISER161529,JACKSONVILLE,FL,32244,RISER,IN SERVICE,DUVAL,12031,USA,30.2207490000001,-81.701737,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/19 00:00:00+00,IMAGERY,2019/03/19 00:00:00+00,2,-999999,-999999,N,N
-9095982.8297,3528387.4188,45986,161530,TAP161530,JACKSONVILLE,FL,32244,TAP,IN SERVICE,DUVAL,12031,USA,30.1930390000001,-81.710604,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/19 00:00:00+00,IMAGERY,2019/03/19 00:00:00+00,1,-999999,-999999,N,N
-9094948.115,3531973.8797,45987,161531,RISER161531,JACKSONVILLE,FL,32244,RISER,IN SERVICE,DUVAL,12031,USA,30.2208820000001,-81.701309,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/19 00:00:00+00,IMAGERY,2019/03/19 00:00:00+00,2,69,-999999,Y,Y
-9116367.0483,3538997.6257,45988,161532,TAP161532,JACKSONVILLE,FL,32221,TAP,IN SERVICE,DUVAL,12031,USA,30.275387064,-81.8937185509999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/19 00:00:00+00,IMAGERY,2019/03/19 00:00:00+00,3,230,230,Y,Y
-9116485.2573,3539164.1514,45989,161533,UNKNOWN161533,JACKSONVILLE,FL,32221,SUBSTATION,IN SERVICE,DUVAL,12031,USA,30.2766789550001,-81.894780441,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/19 00:00:00+00,IMAGERY,2019/03/19 00:00:00+00,2,230,230,N,N
-9099653.7012,3543331.5865,45990,161534,RISER161534,JACKSONVILLE,FL,32205,RISER,IN SERVICE,DUVAL,12031,USA,30.3090040000001,-81.74358,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/19 00:00:00+00,IMAGERY,2019/03/19 00:00:00+00,2,69,69,N,N
-9121045.9924,3195278.3384,46001,161546,TAP161546,BOWLING GREEN,FL,33834,TAP,IN SERVICE,HARDEE,12049,USA,27.5732674990001,-81.935750221,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/20 00:00:00+00,IMAGERY,2019/03/20 00:00:00+00,3,-999999,-999999,Y,Y
-9085904.8052,3195360.7196,46038,161584,TAP161584,ZOLFO SPRINGS,FL,33890,TAP,IN SERVICE,HARDEE,12049,USA,27.5739234860001,-81.620071566,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/20 00:00:00+00,IMAGERY,2019/03/20 00:00:00+00,3,69,69,Y,Y
-9173920.945,3255627.2027,46039,161585,TAP161585,TAMPA,FL,33617,TAP,IN SERVICE,HILLSBOROUGH,12057,USA,28.0527596370001,-82.410734002,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/20 00:00:00+00,IMAGERY,2019/03/20 00:00:00+00,3,69,69,Y,Y
-9520824.352,3626944.7353,46040,161586,TAP161586,GRACEVILLE,FL,32440,TAP,IN SERVICE,JACKSON,12063,USA,30.95529521,-85.5270203279999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/20 00:00:00+00,IMAGERY,2019/03/20 00:00:00+00,3,115,115,Y,Y
-9167321.0469,3398371.4913,46041,161587,TAP161587,OCALA,FL,34481,TAP,IN SERVICE,MARION,12083,USA,29.178395919,-82.3514461089999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/20 00:00:00+00,IMAGERY,2019/03/20 00:00:00+00,3,69,69,Y,Y
-9114708.7509,3236191.8175,46042,161588,TAP161588,BARTOW,FL,33830,TAP,IN SERVICE,POLK,12105,USA,27.8985701760001,-81.878821812,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/20 00:00:00+00,IMAGERY,2019/03/20 00:00:00+00,3,-999999,-999999,Y,Y
-9056807.7772,3393437.6822,46043,161589,TAP161589,DE LEON SPRINGS,FL,32130,TAP,IN SERVICE,VOLUSIA,12127,USA,29.139691554,-81.358688516,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/20 00:00:00+00,IMAGERY,2019/03/20 00:00:00+00,3,69,69,Y,Y
-9390997.2914,3550696.1949,46541,162146,UNKNOWN162146,TALLAHASSEE,FL,32305,SUBSTATION,IN SERVICE,LEON,12073,USA,30.3661021140001,-84.360764,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/29 00:00:00+00,IMAGERY,2019/03/29 00:00:00+00,2,230,230,N,N
-9375326.9382,3562905.019,46542,162147,UNKNOWN162147,TALLAHASSEE,FL,32317,SUBSTATION,IN SERVICE,LEON,12073,USA,30.460684214,-84.219994822,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/29 00:00:00+00,IMAGERY,2019/03/29 00:00:00+00,0,-999999,-999999,N,N
-9202985.8874,3371157.3652,46545,162150,UNKNOWN162150,CRYSTAL RIVER,FL,34428,SUBSTATION,IN SERVICE,CITRUS,12017,USA,28.964727214,-82.671828822,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/29 00:00:00+00,IMAGERY,2019/03/29 00:00:00+00,0,-999999,-999999,N,N
-8964234.968,3199773.9131,46546,162151,UNKNOWN162151,VERO BEACH,FL,32968,SUBSTATION,IN SERVICE,INDIAN RIVER,12061,USA,27.6090592140001,-80.527092822,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/29 00:00:00+00,IMAGERY,2019/03/29 00:00:00+00,3,230,-999999,N,N
-8949173.5865,3171166.339,46547,162152,UNKNOWN162152,FORT PIERCE,FL,34981,SUBSTATION,IN SERVICE,ST. LUCIE,12111,USA,27.3810997030001,-80.3917941299999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/29 00:00:00+00,IMAGERY,2019/03/29 00:00:00+00,2,138,138,Y,Y
-9373867.4284,3527894.8268,46550,162155,UNKNOWN162155,CRAWFORDVILLE,FL,32327,SUBSTATION,IN SERVICE,WAKULLA,12129,USA,30.1892142140001,-84.206883822,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/29 00:00:00+00,IMAGERY,2019/03/29 00:00:00+00,2,230,230,N,N
-8945301.6952,2978721.9161,46552,162157,UNKNOWN162157,MIAMI,FL,33178,SUBSTATION,IN SERVICE,MIAMI-DADE,12086,USA,25.835506292,-80.3570123389999,221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,IMAGERY,2019/03/29 00:00:00+00,IMAGERY,2019/03/29 00:00:00+00,2,-999999,-999999,N,N
